column,korean_name,domain,reason,test_method,statistic,p_value,effect_size,effect_size_name,significant_0_05,rf_importance,effect_rank,rf_rank,selection_rank,selected_final,selection_reason
moves,이사 횟수,주거 안정,거주지 이동 안정성 확인,카이제곱 검정 / Cramér's V,76.73383839227859,2.1749972164777562e-17,0.08156846987181199,Cramér's V,True,0.007896672625321488,26.0,36.0,62.0,False,최종 10문항 범위 밖
k10q14,동네가 아동에게 안전함,동네 환경,지역 안전 환경 확인,카이제곱 검정 / Cramér's V,3.165898330359359,0.0751910587870095,0.01656684017414962,Cramér's V,False,0.01000577125695714,38.0,30.0,68.0,False,최종 10문항 범위 밖
k10q11,동네에 보도·놀이 공간이 있음,동네 환경,생활 주변 환경 확인,카이제곱 검정 / Cramér's V,6.768027951627005,0.009280532741581646,0.024194385117235158,Cramér's V,True,0.009612838197309018,37.0,32.0,69.0,False,최종 10문항 범위 밖
k10q20,동네의 쓰레기·오염 문제,동네 환경,주변 환경 문제 확인,카이제곱 검정 / Cramér's V,23.803281794484956,1.0670038339521709e-06,0.04540685791044887,Cramér's V,True,0.007251403290424645,32.0,37.0,69.0,False,최종 10문항 범위 밖
k10q22,동네의 노후·불량 주택,동네 환경,주변 주거환경 확인,카이제곱 검정 / Cramér's V,40.823052506274884,1.666555344366e-10,0.05946937714932397,Cramér's V,True,0.006764598162296669,31.0,38.0,69.0,False,최종 10문항 범위 밖
s9q34,현금 지원 프로그램 이용,경제,공적 지원 이용 여부 확인,카이제곱 검정 / Cramér's V,47.65540960587107,5.08118334774767e-12,0.06433715479547722,Cramér's V,True,0.0058324154600735275,30.0,39.0,69.0,False,최종 10문항 범위 밖
k10q23,동네의 기물파손,동네 환경,주변 환경의 훼손 징후 확인,카이제곱 검정 / Cramér's V,52.064510897426395,5.370686924321185e-13,0.06713396631841055,Cramér's V,True,0.004657508627380957,29.0,40.0,69.0,False,최종 10문항 범위 밖
k10q13,동네에서 도움을 받을 이웃이 있음,동네 환경,이웃 지원 환경 확인,카이제곱 검정 / Cramér's V,0.33220677601748316,0.5643625386403308,0.0053684151917154635,Cramér's V,False,0.009987580171747492,39.0,31.0,70.0,False,최종 10문항 범위 밖
hhlanguage,가정에서 주로 사용하는 언어,가족 환경,가정 내 의사소통 환경 확인,카이제곱 검정 / Cramér's V,18.838835023681696,8.11332647138809e-05,0.04042149461221488,Cramér's V,True,0.008124230418242123,35.0,35.0,70.0,False,최종 10문항 범위 밖
k10q12,동네에 도서관·공원 등 시설이 있음,동네 환경,생활 주변 자원 확인,카이제곱 검정 / Cramér's V,0.33247215019394416,0.5642070097112166,0.005364280194717505,Cramér's V,False,0.009016079788493093,40.0,33.0,73.0,False,최종 10문항 범위 밖
