column,korean_name,domain,reason,test_method,statistic,p_value,effect_size,effect_size_name,significant_0_05,rf_importance,effect_rank,rf_rank,selection_rank,selected_final,selection_reason
k7q82_r,학교에서 잘하고 싶어 하는 마음,학교 생활,학교 참여·동기 특성 확인,카이제곱 검정 / Cramér's V,118.82387760322747,1.382689375889479e-25,0.11690741088351868,Cramér's V,True,0.02134931211149051,20.0,16.0,36.0,False,최종 8문항 범위 밖
a1_employed_r,주 보호자의 현재 고용 상태,가족·경제,가구의 일상 경제활동 상황 확인,카이제곱 검정 / Cramér's V,181.1483579533794,3.042121596604931e-37,0.1255070959204332,Cramér's V,True,0.020517264635283045,18.0,18.0,36.0,False,최종 8문항 범위 밖
makefriend,친구를 사귀거나 유지하는 어려움,학교·사회생활,또래 관계 특성 확인,카이제곱 검정 / Cramér's V,144.5638726891434,4.0583911687989474e-32,0.12889033352062015,Cramér's V,True,0.01698281385203153,15.0,23.0,38.0,False,최종 8문항 범위 밖
hoursleep,평균 수면 시간,생활습관,일상 생활리듬 확인,카이제곱 검정 / Cramér's V,67.93035130564769,1.0856957994382231e-12,0.08827717106632223,Cramér's V,True,0.02099691043228042,24.0,17.0,41.0,False,최종 8문항 범위 밖
ssi,보충소득 지원 이용,경제,공적 지원 이용 여부 확인,카이제곱 검정 / Cramér's V,216.69185447870944,4.7642971587679445e-49,0.1368590063857582,Cramér's V,True,0.010379359153189171,12.0,29.0,41.0,False,최종 8문항 범위 밖
tenure,현재 주거 형태,주거 안정,현재 거주지의 소유·임대 형태 확인,카이제곱 검정 / Cramér's V,144.800847823984,3.484895879001753e-31,0.11181820634640824,Cramér's V,True,0.01806432667709457,21.0,21.0,42.0,False,최종 8문항 범위 밖
ebtcards,식품 지원 카드 사용,경제,식품 지원 이용 여부 확인,카이제곱 검정 / Cramér's V,133.22953485097173,8.05402864639233e-31,0.10772817727343238,Cramér's V,True,0.01228081405289567,22.0,26.0,48.0,False,최종 8문항 범위 밖
k10q40_r,아이가 느끼는 동네 안전,동네 환경,주거 지역의 안전 인식 확인,카이제곱 검정 / Cramér's V,71.16604903068412,2.401840326734918e-15,0.07857730329635111,Cramér's V,True,0.011799585796200699,26.0,27.0,53.0,False,최종 8문항 범위 밖
physactiv,신체활동 시간,생활습관,일상 활동 특성 확인,카이제곱 검정 / Cramér's V,16.458716266127084,0.0009130438585658434,0.043482408474799755,Cramér's V,True,0.017162712526675433,32.0,22.0,54.0,False,최종 8문항 범위 밖
k10q41_r,아이가 느끼는 학교 안전,학교 환경,학교 내 안전 인식 확인,카이제곱 검정 / Cramér's V,46.67935198361202,4.06660228169203e-10,0.073295533547908,Cramér's V,True,0.010717072528851512,27.0,28.0,55.0,False,최종 8문항 범위 밖
decisions_r,가족의 의사결정 참여,가족 환경,가정 내 의사결정 경험 확인,카이제곱 검정 / Cramér's V,17.261585773417796,3.25705407280732e-05,0.041247052201797973,Cramér's V,True,0.01691690811471662,33.0,24.0,57.0,False,최종 8문항 범위 밖
bedtime,평일 취침 시간,생활습관,일상 수면 리듬 확인,카이제곱 검정 / Cramér's V,12.518649636571867,0.01388372491865103,0.03295780466302029,Cramér's V,True,0.015053379965313342,35.0,25.0,60.0,False,최종 8문항 범위 밖
moves,이사 횟수,주거 안정,거주지 이동 안정성 확인,카이제곱 검정 / Cramér's V,76.73383839227859,2.1749972164777562e-17,0.08156846987181199,Cramér's V,True,0.00829320861862931,25.0,35.0,60.0,False,최종 8문항 범위 밖
k10q14,동네가 아동에게 안전함,동네 환경,지역 안전 환경 확인,카이제곱 검정 / Cramér's V,3.165898330359359,0.0751910587870095,0.01656684017414962,Cramér's V,False,0.010090264895332577,37.0,30.0,67.0,False,최종 8문항 범위 밖
k10q20,동네의 쓰레기·오염 문제,동네 환경,주변 환경 문제 확인,카이제곱 검정 / Cramér's V,23.803281794484956,1.0670038339521709e-06,0.04540685791044887,Cramér's V,True,0.007584014127856877,31.0,36.0,67.0,False,최종 8문항 범위 밖
k10q22,동네의 노후·불량 주택,동네 환경,주변 주거환경 확인,카이제곱 검정 / Cramér's V,40.823052506274884,1.666555344366e-10,0.05946937714932397,Cramér's V,True,0.006997745678609003,30.0,37.0,67.0,False,최종 8문항 범위 밖
s9q34,현금 지원 프로그램 이용,경제,공적 지원 이용 여부 확인,카이제곱 검정 / Cramér's V,47.65540960587107,5.08118334774767e-12,0.06433715479547722,Cramér's V,True,0.005907282250906172,29.0,38.0,67.0,False,최종 8문항 범위 밖
k10q23,동네의 기물파손,동네 환경,주변 환경의 훼손 징후 확인,카이제곱 검정 / Cramér's V,52.064510897426395,5.370686924321185e-13,0.06713396631841055,Cramér's V,True,0.004974900917014821,28.0,39.0,67.0,False,최종 8문항 범위 밖
k10q11,동네에 보도·놀이 공간이 있음,동네 환경,생활 주변 환경 확인,카이제곱 검정 / Cramér's V,6.768027951627005,0.009280532741581646,0.024194385117235158,Cramér's V,True,0.00974576535507667,36.0,32.0,68.0,False,최종 8문항 범위 밖
hhlanguage,가정에서 주로 사용하는 언어,가족 환경,가정 내 의사소통 환경 확인,카이제곱 검정 / Cramér's V,18.838835023681696,8.11332647138809e-05,0.04042149461221488,Cramér's V,True,0.00854120320350312,34.0,34.0,68.0,False,최종 8문항 범위 밖
k10q13,동네에서 도움을 받을 이웃이 있음,동네 환경,이웃 지원 환경 확인,카이제곱 검정 / Cramér's V,0.33220677601748316,0.5643625386403308,0.0053684151917154635,Cramér's V,False,0.009978615291377401,38.0,31.0,69.0,False,최종 8문항 범위 밖
k10q12,동네에 도서관·공원 등 시설이 있음,동네 환경,생활 주변 자원 확인,카이제곱 검정 / Cramér's V,0.33247215019394416,0.5642070097112166,0.005364280194717505,Cramér's V,False,0.009543680793830008,39.0,33.0,72.0,False,최종 8문항 범위 밖
